date,nav,fund_code,fund_name,category
2014-06-06,26.428,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-09,26.787,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-10,26.776,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-11,26.714,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-12,26.783,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-13,26.356,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-16,26.365,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-17,26.801,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-18,26.673,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-19,26.563,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-20,26.385,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-23,26.405,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-24,26.729,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-25,26.648,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-26,26.396,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-27,26.562,118825,Mirae Asset Large Cap Fund,Large Cap
2014-06-30,27.011,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-01,27.065,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-02,27.49,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-03,27.527,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-04,27.841,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-07,27.895,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-08,27.118,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-09,26.908,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-10,26.908,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-11,26.351,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-14,26.318,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-15,26.746,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-16,27.179,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-17,27.377,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-18,27.419,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-21,27.44,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-22,27.553,118825,Mirae Asset Large Cap Fund,Large Cap
2014-07-23,27.574,118825,Mirae Asset Large Cap Fund,Large Cap
